titulo,url,imagem,preco,lojas,priority
OFERTA 0 DA LOJA 0,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,21.466773156941453,0,1
OFERTA 0 DA LOJA 1,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,27.835877077905423,1,1
OFERTA 0 DA LOJA 2,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,7.239858117363507,2,2
OFERTA 0 DA LOJA 3,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,89.75723282717982,3,2
OFERTA 0 DA LOJA 4,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,99.45572146873313,4,3
OFERTA 0 DA LOJA 5,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,20.292372111858782,5,1
OFERTA 0 DA LOJA 6,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,38.29596819162773,6,2
OFERTA 0 DA LOJA 7,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,25.253648194004153,7,2
OFERTA 0 DA LOJA 8,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,49.15449598989944,8,1
OFERTA 0 DA LOJA 9,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,3.4480708040892094,9,2
OFERTA 0 DA LOJA 10,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,43.74706749072449,10,2
OFERTA 0 DA LOJA 11,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,93.60786555382856,11,3
OFERTA 0 DA LOJA 12,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,6.750663660533817,12,1
OFERTA 0 DA LOJA 13,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,52.44890353015549,13,2
OFERTA 0 DA LOJA 14,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,74.50366036094948,14,3
OFERTA 0 DA LOJA 15,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,61.19822122609594,15,2
OFERTA 0 DA LOJA 16,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,22.796727208195545,16,1
OFERTA 0 DA LOJA 17,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,43.37864058705419,17,1
OFERTA 0 DA LOJA 18,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,35.56208422855236,18,2
OFERTA 0 DA LOJA 19,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,11.182108096513366,19,1
OFERTA 0 DA LOJA 20,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,6.832658544465742,20,1
OFERTA 0 DA LOJA 21,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,10.550065480239212,21,2
OFERTA 0 DA LOJA 22,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,14.095272578820628,22,3
OFERTA 0 DA LOJA 23,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,2.8642250922272683,23,2
OFERTA 0 DA LOJA 24,https://www.instagram.com/p/BmcORVRBlIJ/?taken-at=2121748688067072,ursal.png,81.22534400410075,24,2
